Nom du film,Annee,Score,Duree,Acteur,Genre,Description
Platoon,,8.1,2,Stars,Drama,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict."
Rocky,,8.1,2,Stars,Drama,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.
The Terminator,,8.1,1,Stars,Action,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation."
Hotel Rwanda,,8.1,2,Stars,Biography,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."
The Passion of Joan of Arc,,8.2,1,Stars,Biography,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."
Ford v Ferrari,,8.1,2,Stars,Action,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.
Tokyo Story,,8.2,2,Stars,Drama,"An old couple visit their children and grandchildren in the city, but receive little attention."
"Monsters, Inc.",,8.1,1,Writers,Animation,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."
Dead Poets Society,,8.1,2,Stars,Comedy,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.
The Big Lebowski,,8.1,1,Stars,Comedy,"Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife."
Mary and Max,,8.1,1,Stars,Animation,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York."
Jaws,,8.1,2,Stars,Adventure,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
How to Train Your Dragon,,8.1,1,Writers,Animation,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
Room,,8.1,1,Stars,Drama,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time."
Mad Max: Fury Road,,8.1,2,Stars,Action,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max."
The Seventh Seal,,8.1,1,Stars,Drama,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
Memories of Murder,,8.1,2,Stars,Crime,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
Wild Tales,,8.1,2,Stars,Comedy,Six short stories that explore the extremities of human behavior involving people in distress.
Sherlock Jr.,,8.2,45,Stars,Action,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
Mr. Smith Goes to Washington,,8.1,2,Stars,Comedy,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character."
The Wages of Fear,,8.2,2,Stars,Adventure,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."
Barry Lyndon,,8.1,3,Stars,Adventure,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
The Deer Hunter,,8.1,3,Writers,Drama,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.
In the Name of the Father,,8.1,2,Stars,Biography,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.
Hacksaw Ridge,,8.1,2,Stars,Biography,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot."
The General,,8.2,1,Writers,Action,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines."
Klaus,,8.1,1,Stars,Animation,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
The Third Man,,8.1,1,Writers,Film-Noir,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
The Grand Budapest Hotel,,8.1,1,Stars,Adventure,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
Wild Strawberries,,8.1,1,Stars,Drama,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."
